Tenure,Monthly_Charges,Total_Charges,Support_Calls,Internet_Usage,Contract_Type,Churn
16,113.67,1830.01,3,29.24,2,1
33,79.14,2637.01,2,46.78,0,1
54,103.8,5617.29,2,30.55,2,1
37,92.47,3413.67,2,89.01,0,1
20,71.72,1437.29,0,33.73,1,0
44,104.91,4606.92,1,35.94,0,1
53,34.04,1789.3,1,55.72,0,0
15,22.24,336.27,2,73.42,0,0
19,46.55,915.61,2,74.52,0,1
19,117.91,2207.25,4,40.51,1,1
57,65.86,3741.06,3,59.58,2,0
50,61.84,3101.72,1,14.82,0,1
52,26.04,1289.0,4,36.49,0,1
42,72.23,3036.9,3,33.49,0,1
14,109.86,1569.1,2,57.4,0,1
69,59.2,4080.04,0,33.48,1,0
42,64.48,2700.25,1,43.24,1,0
67,92.37,6185.79,4,16.47,1,1
41,25.18,1033.9,3,102.25,1,0
52,87.59,4552.78,1,54.72,0,1
71,27.83,1980.11,1,59.33,0,0
69,32.74,2273.4,1,67.3,1,0
54,53.04,2913.67,2,59.29,0,1
71,48.63,3446.59,0,62.13,1,0
44,43.95,1926.32,1,32.75,1,0
56,118.21,6628.57,2,41.52,1,1
32,35.7,1156.72,0,77.64,2,0
27,31.3,862.06,1,22.79,0,0
61,69.68,4223.16,2,45.33,0,1
6,49.51,285.33,0,32.87,0,1
7,114.32,825.65,1,33.2,0,1
60,30.98,1840.99,2,34.69,2,0
67,61.23,4106.11,1,50.79,0,1
67,64.66,4350.92,0,50.61,1,0
64,30.69,1966.74,3,66.74,0,1
10,103.04,1015.88,0,52.78,0,1
57,52.17,2948.9,4,0.0,0,1
39,109.3,4241.81,3,60.14,0,1
63,95.62,6016.27,0,75.54,0,1
36,46.0,1635.82,3,53.12,1,0
9,54.44,506.21,1,59.49,0,1
34,37.04,1196.28,2,19.83,0,1
43,98.34,4234.69,3,49.11,0,1
63,84.52,5351.39,5,33.58,0,1
41,89.58,3667.61,2,61.01,0,1
71,76.42,5416.38,1,37.76,1,0
18,27.13,495.92,2,49.85,0,0
12,111.56,1331.33,1,53.8,1,1
38,74.67,2812.62,4,81.53,0,1
32,66.87,2168.7,2,61.13,2,0
70,44.01,3069.55,1,54.06,0,1
56,62.17,3466.54,1,43.24,1,0
59,40.71,2415.75,0,51.88,0,0
68,33.22,2289.37,1,44.0,0,0
47,115.99,5474.37,2,37.18,0,1
7,45.38,310.16,1,48.09,0,1
44,117.0,5105.45,2,29.63,0,1
43,42.03,1817.03,4,54.25,0,1
7,68.29,484.44,1,71.49,2,0
29,65.26,1871.36,4,70.0,1,1
28,49.08,1397.12,2,49.88,0,1
5,110.6,557.73,3,90.84,0,1
14,119.95,1628.01,2,42.02,2,1
25,21.78,510.4,3,36.85,0,1
29,70.44,2073.62,4,29.04,0,1
19,50.99,966.83,2,89.64,2,0
40,79.21,3155.61,2,23.57,0,1
25,61.24,1556.6,4,58.89,0,1
30,102.12,3056.49,2,74.97,0,1
18,63.41,1144.27,2,23.93,1,0
47,51.88,2430.17,0,77.6,1,0
41,60.32,2445.22,5,43.38,0,1
63,90.29,5634.19,4,1.42,0,1
30,39.09,1187.11,3,31.08,1,0
64,26.9,1733.46,0,47.39,1,0
51,37.57,1886.67,2,61.29,1,0
8,101.92,842.06,1,77.61,0,1
53,99.09,5280.84,3,16.23,0,1
35,108.68,3808.22,2,76.1,1,1
50,55.65,2742.0,1,36.73,1,0
72,104.87,7545.91,3,44.48,0,1
24,34.31,831.3,2,38.51,0,1
66,111.24,7325.26,3,64.96,0,1
56,105.95,5937.07,0,53.8,0,1
22,102.67,2258.86,1,10.41,0,1
68,52.08,3509.55,3,36.83,0,1
1,59.58,52.41,2,55.11,0,1
19,32.44,600.42,2,60.63,0,1
47,39.0,1836.82,2,14.3,0,1
28,57.18,1644.42,1,49.72,0,1
25,36.32,878.27,2,45.77,2,0
37,85.14,3157.27,3,24.01,0,1
51,118.82,6055.11,2,76.13,1,1
62,36.66,2260.51,1,23.97,1,0
36,28.38,1020.23,3,28.6,0,1
34,108.04,3705.11,2,63.37,0,1
4,53.93,196.1,3,48.08,0,1
71,21.12,1504.86,2,35.89,1,0
44,88.63,3900.5,2,70.91,0,1
39,31.63,1272.84,1,0.0,0,0
13,86.58,1127.96,4,60.25,0,1
5,73.07,357.92,0,81.61,0,1
53,68.06,3629.6,2,48.04,0,1
47,89.64,4175.89,4,52.28,0,1
23,94.88,2196.65,2,59.91,1,1
19,101.66,1944.01,3,43.21,0,1
10,90.94,910.45,3,45.97,1,1
18,42.65,770.71,5,48.67,0,1
41,104.6,4275.66,1,35.96,0,1
