Marketing_Spend,Seasonality_Index,Product_Price,Promotion_Discount,Competitor_Price,Weekly_Sales
4370.86,1.08,35.43,0.08,33.77,682
9556.43,1.03,51.28,0.05,54.78,864
7587.95,0.85,18.93,0.07,13.97,1005
6387.93,0.99,50.22,0.24,49.4,770
2404.17,0.87,28.28,0.44,34.36,596
2403.95,1.16,34.98,0.15,31.95,541
1522.75,1.34,53.03,0.22,56.3,444
8795.59,1.29,89.77,0.02,90.36,833
6410.04,0.84,62.06,0.3,62.43,778
7372.65,1.01,11.59,0.17,5.64,879
1185.26,0.51,22.92,0.33,20.31,496
9729.19,1.37,15.7,0.29,21.33,945
8491.98,0.75,26.76,0.36,24.42,965
2911.05,0.94,40.93,0.39,36.44,702
2636.42,0.65,25.76,0.12,16.46,586
2650.64,1.18,51.55,0.25,57.33,569
3738.18,1.05,84.18,0.28,87.9,593
5722.81,0.86,84.3,0.22,89.4,611
4887.51,1.04,40.57,0.19,44.01,714
3621.06,0.67,39.4,0.47,46.78,629
6506.68,1.28,77.12,0.06,76.76,738
2255.44,0.77,47.36,0.06,48.89,514
3629.3,1.12,97.31,0.31,102.35,523
4297.26,1.4,50.05,0.12,57.69,664
5104.63,0.54,31.89,0.5,34.31,645
8066.58,0.89,10.88,0.04,6.5,935
2797.06,0.63,95.87,0.37,104.86,445
5628.11,1.41,20.69,0.36,20.79,698
6331.73,0.86,25.77,0.37,33.25,757
1418.05,0.71,13.45,0.34,11.22,483
6467.9,1.18,51.84,0.04,54.85,683
2534.72,1.04,46.75,0.16,47.27,553
1585.46,1.32,83.42,0.05,77.24,476
9539.97,1.25,59.98,0.33,59.51,842
9690.69,1.47,62.41,0.11,64.93,883
8275.58,0.59,81.12,0.27,84.24,768
3741.52,0.58,62.46,0.49,62.09,508
1879.05,1.41,60.88,0.04,60.73,564
7158.1,1.46,93.57,0.46,87.17,580
4961.37,0.91,49.33,0.23,54.23,584
2098.34,0.96,67.1,0.28,63.02,505
5456.59,0.87,44.59,0.4,44.35,757
1309.5,1.28,68.56,0.38,64.41,455
9183.88,1.27,10.91,0.02,5.87,973
3329.02,0.72,75.4,0.28,73.91,513
6962.7,0.88,80.36,0.48,77.6,629
3805.4,0.71,88.96,0.24,84.68,471
5680.61,0.55,54.98,0.46,49.45,648
5920.39,0.56,35.76,0.11,33.81,760
2663.69,0.65,75.74,0.35,85.54,435
9726.26,0.53,95.41,0.29,96.6,748
7976.2,0.92,79.29,0.07,86.01,797
9455.49,0.56,92.01,0.08,100.74,826
9053.45,1.35,20.74,0.35,13.1,864
6381.1,1.21,93.18,0.06,93.98,670
9296.87,1.28,73.97,0.32,63.31,939
1796.43,1.12,84.01,0.44,84.35,481
2763.85,1.16,47.88,0.16,42.62,588
1407.05,0.61,61.3,0.12,62.29,484
3927.97,0.56,65.2,0.27,60.9,599
4498.1,1.49,56.69,0.46,55.62,582
3442.14,0.87,18.69,0.04,21.67,683
8458.64,0.55,30.88,0.44,40.08,874
4210.78,0.66,22.56,0.08,13.54,674
3528.41,1.37,84.53,0.21,88.66,519
5884.26,0.71,43.53,0.41,46.69,600
2268.32,0.97,35.92,0.28,37.12,510
8219.77,1.17,29.65,0.14,25.84,897
1670.96,1.47,73.2,0.06,76.89,477
9881.98,0.51,56.81,0.32,56.09,881
7950.2,0.99,63.29,0.41,58.82,811
2788.44,1.5,78.07,0.24,78.13,525
1049.7,0.62,97.28,0.35,99.28,247
8339.15,0.62,76.71,0.28,82.33,723
7361.72,0.59,97.4,0.36,90.9,708
7561.06,1.01,72.79,0.46,78.52,678
7941.43,0.85,70.95,0.19,68.06,651
1666.4,1.22,22.98,0.37,23.12,522
4226.19,1.07,18.37,0.48,21.42,713
2042.82,1.08,12.15,0.11,15.97,618
8767.93,1.01,72.43,0.46,73.29,795
6609.68,1.49,68.42,0.21,69.63,670
3978.08,1.04,66.82,0.03,62.62,582
1572.03,0.57,66.26,0.11,64.84,423
3798.84,0.82,71.95,0.44,75.54,615
3926.65,1.28,85.2,0.28,86.0,504
7566.46,1.13,75.35,0.46,76.09,822
6738.02,1.18,63.94,0.27,60.9,680
8984.91,1.42,29.61,0.0,28.11,782
5249.93,0.94,79.05,0.35,77.14,553
2076.35,0.52,32.47,0.22,27.5,538
7419.2,1.49,71.23,0.04,71.2,887
7847.07,0.95,22.12,0.13,18.07,864
6051.49,0.6,55.9,0.07,62.33,728
7938.7,1.05,66.96,0.23,72.98,771
5444.16,1.09,83.37,0.15,89.8,576
5704.6,1.06,73.23,0.1,76.92,739
4847.87,1.46,82.58,0.32,72.23,646
1228.77,0.82,86.97,0.47,81.44,422
1971.02,0.53,88.9,0.48,88.5,422
1282.86,1.42,89.29,0.19,93.36,432
6727.69,0.69,33.72,0.13,43.1,751
3829.2,1.25,82.71,0.31,92.32,507
5577.14,0.7,11.52,0.18,11.48,679
9168.1,1.33,94.24,0.4,98.15,700
3243.63,1.41,26.76,0.2,35.04,623
4693.45,0.61,89.52,0.29,83.39,632
7799.96,0.65,82.39,0.49,85.48,740
3059.18,1.43,45.06,0.07,44.64,613
1692.82,1.27,96.71,0.16,101.82,471
3607.76,0.54,18.47,0.04,12.64,704
2450.99,0.68,36.19,0.48,37.09,605
9367.28,0.91,32.79,0.24,32.96,858
8273.08,1.36,10.74,0.16,16.01,902
6700.63,0.65,24.82,0.46,20.46,767
8843.15,1.22,81.46,0.22,84.9,790
8233.05,0.58,84.86,0.0,77.77,743
2679.13,0.97,77.05,0.28,75.18,398
9033.03,1.23,59.28,0.04,63.86,891
5854.08,0.56,66.91,0.49,68.17,712
8266.96,0.7,62.34,0.45,65.7,745
9064.82,1.29,32.71,0.38,35.0,946
3862.03,0.66,44.62,0.32,48.86,601
1990.47,1.17,83.65,0.02,86.66,390
